货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间
日元,5.4983,5.3275,5.5387,5.5473,5.5415,2021.12.31 21:16:01
日元,5.4978,5.327,5.5382,5.5468,5.5415,2021.12.31 21:21:17
日元,5.4973,5.3265,5.5377,5.5463,5.5415,2021.12.31 21:27:12
日元,5.4978,5.327,5.5382,5.5468,5.5415,2021.12.31 21:31:29
日元,5.4969,5.3261,5.5373,5.5459,5.5415,2021.12.31 21:38:03
日元,5.4974,5.3266,5.5378,5.5464,5.5415,2021.12.31 21:45:02
日元,5.4988,5.3279,5.5392,5.5478,5.5415,2021.12.31 21:55:22
日元,5.4988,5.3279,5.5392,5.5478,5.5415,2021.12.31 21:59:35
日元,5.5001,5.3292,5.5405,5.5491,5.5415,2021.12.31 22:08:59
日元,5.5006,5.3297,5.5411,5.5496,5.5415,2021.12.31 22:16:26
日元,5.5011,5.3302,5.5416,5.5501,5.5415,2021.12.31 22:25:19
日元,5.5028,5.3318,5.5433,5.5518,5.5415,2021.12.31 22:28:30
日元,5.5014,5.3305,5.5419,5.5504,5.5415,2021.12.31 22:38:48
日元,5.5014,5.3305,5.5419,5.5504,5.5415,2021.12.31 23:03:39
日元,5.5018,5.3308,5.5423,5.5508,5.5415,2021.12.31 23:16:36
日元,5.5041,5.3331,5.5446,5.5531,5.5415,2021.12.31 23:28:55
日元,5.5041,5.3331,5.5446,5.5531,5.5415,2021.12.31 23:29:00
日元,5.5032,5.3322,5.5437,5.5522,5.5415,2021.12.31 23:42:27
日元,5.5032,5.3322,5.5437,5.5522,5.5415,2021.12.31 23:42:27
日元,5.5032,5.3322,5.5437,5.5522,5.5415,2021.12.31 23:42:27
